"source","Treatment","n_flips","flip_years","site_abbr","n_timepoints","flip_pct"
"AND_tree_DBH_2002-2015_processed.csv","WS06",0,NA,"AND",3,0
"AND_tree_DBH_2002-2015_processed.csv","WS07",0,NA,"AND",3,0
"ARC_vascular_biomass_1983-2015.csv","GH",NA,NA,"ARC",2,NA
"ARC_vascular_biomass_1983-2015.csv","GHNP",NA,NA,"ARC",2,NA
"ARC_vascular_biomass_1983-2015.csv","NP",0,NA,"ARC",6,0
"ARC_vascular_biomass_1983-2015.csv","SH",NA,NA,"ARC",2,NA
"BNZ_NEE_2009-2021.csv","C S",0,NA,"BNZ",13,0
"BNZ_NEE_2009-2021.csv","W C",4,"2010; 2014; 2019; 2020","BNZ",13,33.3333333333333
"BNZ_NEE_2009-2021.csv","W S",1,"2010","BNZ",13,8.33333333333333
"CAP_annual_plant_biomass_2008-2024.csv","N",0,NA,"CAP",11,0
"CAP_annual_plant_biomass_2008-2024.csv","NP",0,NA,"CAP",11,0
"CAP_annual_plant_biomass_2008-2024.csv","P",2,"2019; 2021","CAP",11,20
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv",5,"2015; 2016; 2017; 2018; 2019","CDR",10,55.5555555555556
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg",4,"2008; 2009; 2010; 2011","CDR",5,100
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg HTamb",2,"2014; 2015","CDR",9,25
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg HTelv",2,"2013; 2015","CDR",9,25
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M",2,"2020; 2021","CDR",24,8.69565217391304
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M H2Oamb",0,NA,"CDR",5,0
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M H2Oamb HTamb",0,NA,"CDR",10,0
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M H2Oamb HTelv",8,"2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020","CDR",10,88.8888888888889
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M H2Oneg",1,"2009","CDR",5,25
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M H2Oneg HTamb",2,"2016; 2017","CDR",9,25
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M H2Oneg HTelv",6,"2015; 2016; 2017; 2018; 2019; 2021","CDR",9,75
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich S",5,"2006; 2008; 2009; 2010; 2021","CDR",23,22.7272727272727
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb M",4,"2010; 2011; 2020; 2021","CDR",24,17.3913043478261
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb M H2Oamb",1,"2011","CDR",5,25
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb M H2Oamb HTamb",4,"2016; 2018; 2020; 2021","CDR",10,44.4444444444444
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb M H2Oamb HTelv",2,"2019; 2020","CDR",10,22.2222222222222
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb M H2Oneg",3,"2009; 2010; 2011","CDR",5,75
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb M H2Oneg HTamb",4,"2013; 2014; 2015; 2021","CDR",9,50
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb M H2Oneg HTelv",4,"2014; 2015; 2016; 2017","CDR",9,50
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Namb S",10,"2003; 2004; 2006; 2007; 2009; 2010; 2011; 2012; 2015; 2017","CDR",23,45.4545454545455
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Nenrich M",1,"2020","CDR",24,4.34782608695652
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Nenrich M H2Oamb",2,"2009; 2010","CDR",5,50
"CDR_Biomass_1998-2021_gm2_processed.csv","Cenrich Nenrich M H2Oamb HTamb",7,"2013; 2016; 2017; 2018; 2019; 2020; 2021","CDR",10,77.7777777777778
